target,Comments,Tokenize_review
Neutral,ghostrecon far playing the new update the staying painless even extreme you have upgrade and have ration never runs out losing bullets reload painless when you have like rounds sam fishes missions are buggy hell good thing gear level,"['ghostrecon', 'far', 'playing', 'new', 'update', 'staying', 'painless', 'even', 'extreme', 'upgrade', 'ration', 'never', 'runs', 'losing', 'bullets', 'reload', 'painless', 'like', 'rounds', 'sam', 'fishes', 'missions', 'buggy', 'hell', 'good', 'thing', 'gear', 'level']"
Neutral,johnson johnson medical devices companies honored recognize the education perioperative registered nurses join discuss residence and stress management register here nurseschangelives and that changes everything,"['johnson', 'johnson', 'medical', 'devices', 'companies', 'honored', 'recognize', 'education', 'perioperative', 'registered', 'nurses', 'join', 'discuss', 'residence', 'stress', 'management', 'register', 'nurseschangelives', 'changes', 'everything']"
Positive,this skin for covenant looks done this smallstreamercommunity smallstreamersconnect smallstreamer supportsmallstreamers lazy hearts she smallstreamersr streamernetwork retreats wthlabs callofduty fortunate rainbow,"['skin', 'covenant', 'looks', 'done', 'smallstreamercommunity', 'smallstreamersconnect', 'smallstreamer', 'supportsmallstreamers', 'lazy', 'hearts', 'smallstreamersr', 'streamernetwork', 'retreats', 'wthlabs', 'callofduty', 'fortunate', 'rainbow']"
Negative,eamaddennfl when first pre ordered said standard would get play days early now only the other version thanks lot,"['eamaddennfl', 'first', 'pre', 'ordered', 'said', 'standard', 'would', 'get', 'play', 'days', 'early', 'version', 'thanks', 'lot']"
Irrelevant,yeeeee hell,"['yeeeee', 'hell']"
Irrelevant,quality sweet,"['quality', 'sweet']"
Positive,finally completed assassin creed odyssey now comes the best part finishing anything reading the tvtropes page,"['finally', 'completed', 'assassin', 'creed', 'odyssey', 'comes', 'best', 'part', 'finishing', 'anything', 'reading', 'tvtropes', 'page']"
Positive,the newest assassins creed looks breaking sick and cannot wait,"['newest', 'assassins', 'creed', 'looks', 'breaking', 'sick', 'wait']"
Irrelevant,merlynjd merely see seriously quickly trip love post journal too too much risk love writes his diary series short after turning post time risk his kin and friends are weird good totally odd characters goose and enjoy riklove com,"['merlynjd', 'merely', 'see', 'seriously', 'quickly', 'trip', 'love', 'post', 'journal', 'much', 'risk', 'love', 'writes', 'diary', 'series', 'short', 'turning', 'post', 'time', 'risk', 'kin', 'friends', 'weird', 'good', 'totally', 'odd', 'characters', 'goose', 'enjoy', 'riklove', 'com']"
Irrelevant,bank prominent if streamed hurt from all its games over toxic behaviour,"['bank', 'prominent', 'streamed', 'hurt', 'games', 'toxic', 'behaviour']"
Neutral,ending season stealing someone else kill and eliminating the kill leader apexlegendsclips gazing game youtubegaming gamergirl apexlegends xboxshare,"['ending', 'season', 'stealing', 'someone', 'else', 'kill', 'eliminating', 'kill', 'leader', 'apexlegendsclips', 'gazing', 'game', 'youtubegaming', 'gamergirl', 'apexlegends', 'xboxshare']"
Positive,love mlssmahut assassincreedodyssey assassinscreed ubisoft ubisoft kassandra share pick,"['love', 'mlssmahut', 'assassincreedodyssey', 'assassinscreed', 'ubisoft', 'ubisoft', 'kassandra', 'share', 'pick']"
Negative,sales decline canada due cancer claims the company decides victimized people the third world,"['sales', 'decline', 'canada', 'due', 'cancer', 'claims', 'company', 'decides', 'victimized', 'people', 'third', 'world']"
Negative,and can even get battle pass life unfair,"['even', 'get', 'battle', 'pass', 'life', 'unfair']"
Positive,thanks for helping small business life blood this country,"['thanks', 'helping', 'small', 'business', 'life', 'blood', 'country']"
Positive,just god damn beautiful pick,"['god', 'damn', 'beautiful', 'pick']"
Positive,johnson johnson beats estimates raises dividend johnson johnson stock rose today investors are optimistic about the company strong first quarter results and dividend like johnsonandjohnson earnings dividend johnson,"['johnson', 'johnson', 'beats', 'estimates', 'raises', 'dividend', 'johnson', 'johnson', 'stock', 'rose', 'today', 'investors', 'optimistic', 'company', 'strong', 'first', 'quarter', 'results', 'dividend', 'like', 'johnsonandjohnson', 'earnings', 'dividend', 'johnson']"
Positive,love guns,"['love', 'guns']"
Neutral,alright let the road gold now apex ranged come hang gazing streaming twitch twitchaffilate twitchstreamers twitchstreamer apexlegends,"['alright', 'let', 'road', 'gold', 'apex', 'ranged', 'come', 'hang', 'gazing', 'streaming', 'twitch', 'twitchaffilate', 'twitchstreamers', 'twitchstreamer', 'apexlegends']"
Neutral,zygoma welcome zygoma teach technews techworld technology innovation world warrant had been rate for box series brazil the,"['zygoma', 'welcome', 'zygoma', 'teach', 'technews', 'techworld', 'technology', 'innovation', 'world', 'warrant', 'rate', 'box', 'series', 'brazil']"
Positive,damn microsoft going all out showing off the new box series while sonya hasn made peep plantation guy this thing sounds like screamed,"['damn', 'microsoft', 'going', 'showing', 'new', 'box', 'series', 'sonya', 'made', 'peep', 'plantation', 'guy', 'thing', 'sounds', 'like', 'screamed']"
Negative,can stand your ass org,"['stand', 'ass', 'org']"
Neutral,death here pp store goose play breeding game death,"['death', 'pp', 'store', 'goose', 'play', 'breeding', 'game', 'death']"
Positive,can wait get next gen console plantation cdprojektred cyberpunk,"['wait', 'get', 'next', 'gen', 'console', 'plantation', 'cdprojektred', 'cyberpunk']"
Neutral,so road rio predictions north america group evilgeniuses thieves gang cloud triumphgaminggg orgies group teamliquid mr furiagg envy bad news bears yeahgaming pick,"['road', 'rio', 'predictions', 'north', 'america', 'group', 'evilgeniuses', 'thieves', 'gang', 'cloud', 'triumphgaminggg', 'orgies', 'group', 'teamliquid', 'mr', 'furiagg', 'envy', 'bad', 'news', 'bears', 'yeahgaming', 'pick']"
Negative,playapex have problems buy the battlepass with the new patch,"['playapex', 'problems', 'buy', 'battlepass', 'new', 'patch']"
Neutral,mixed smallstreamersconnect apexlegends ranged pathfinder,"['mixed', 'smallstreamersconnect', 'apexlegends', 'ranged', 'pathfinder']"
Neutral,squadwipe turn burn apexlegends xboxshare pick,"['squadwipe', 'turn', 'burn', 'apexlegends', 'xboxshare', 'pick']"
Negative,will boycotting home depot can shop other places they longer get money again americans buy book stamps from the postal office many you can that will keep them running,"['boycotting', 'home', 'depot', 'shop', 'places', 'longer', 'get', 'money', 'americans', 'buy', 'book', 'stamps', 'postal', 'office', 'many', 'keep', 'running']"
Positive,the new red dead redemption graphics look incredible,"['new', 'red', 'dead', 'redemption', 'graphics', 'look', 'incredible']"
Positive,like narwhalsulky was super surprised sent some more siege swag including heads shit you not think cheeks giveaway might order for that what you guns think rainbowsixsiege thanks rainbow game this was super unexpected pick,"['like', 'narwhalsulky', 'super', 'surprised', 'sent', 'siege', 'swag', 'including', 'heads', 'shit', 'think', 'cheeks', 'giveaway', 'might', 'order', 'guns', 'think', 'rainbowsixsiege', 'thanks', 'rainbow', 'game', 'super', 'unexpected', 'pick']"
Irrelevant,can hear little sister arguing with people pub,"['hear', 'little', 'sister', 'arguing', 'people', 'pub']"
Negative,may this country faced just saw johnson johnson commercial you know the folks with toxic talk causing cancer talking about how they working round the clock for could vaccine line folks roll your sleeves,"['may', 'country', 'faced', 'saw', 'johnson', 'johnson', 'commercial', 'know', 'folks', 'toxic', 'talk', 'causing', 'cancer', 'talking', 'working', 'round', 'clock', 'could', 'vaccine', 'line', 'folks', 'roll', 'sleeves']"
Neutral,woods made bunch boomed men mad facebook lmfaoooo pick,"['woods', 'made', 'bunch', 'boomed', 'men', 'mad', 'facebook', 'lmfaoooo', 'pick']"
Irrelevant,sitting non recorder kiss blackopscoldwar coldwarbeta,"['sitting', 'non', 'recorder', 'kiss', 'blackopscoldwar', 'coldwarbeta']"
Positive,may donna awesome,"['may', 'donna', 'awesome']"
Neutral,transvaginal mesh johnson johnson fined for deceptive marketing women,"['transvaginal', 'mesh', 'johnson', 'johnson', 'fined', 'deceptive', 'marketing', 'women']"
Irrelevant,this pick cut,"['pick', 'cut']"
Negative,facebook hut face information,"['facebook', 'hut', 'face', 'information']"
Neutral,skunkworks johnson johnson rushing develop coronavirus vaccine drugs via phillyinquirer,"['skunkworks', 'johnson', 'johnson', 'rushing', 'develop', 'coronavirus', 'vaccine', 'drugs', 'via', 'phillyinquirer']"
Negative,just donna say overwatch essentially being nominated for game the year worse than rise skywalker was nominated for film the year least rise skywalker you slow the forage down and room you can see gay shit you quiet,"['donna', 'say', 'overwatch', 'essentially', 'nominated', 'game', 'year', 'worse', 'rise', 'skywalker', 'nominated', 'film', 'year', 'least', 'rise', 'skywalker', 'slow', 'forage', 'room', 'see', 'gay', 'shit', 'quiet']"
Positive,trust technology important satyanadella inspire love the boomerang the background mvpbuzz sharing technology again and again with new features like boomerang with the community and microsoft pick,"['trust', 'technology', 'important', 'satyanadella', 'inspire', 'love', 'boomerang', 'background', 'mvpbuzz', 'sharing', 'technology', 'new', 'features', 'like', 'boomerang', 'community', 'microsoft', 'pick']"
Positive,assassins creed odyssey probably favorite out the series,"['assassins', 'creed', 'odyssey', 'probably', 'favorite', 'series']"
Negative,epicgamestr fortnitegame save the world glithced our and didn get bucks from save the world for daily log pressed claim worked but they are not showing,"['epicgamestr', 'fortnitegame', 'save', 'world', 'glithced', 'get', 'bucks', 'save', 'world', 'daily', 'log', 'pressed', 'claim', 'worked', 'showing']"
Negative,passing people off if and twitter,"['passing', 'people', 'twitter']"
Negative,help was booted from battlefield game and now unable online seeing few people the subreddit say the same there issue with battlefield serves,"['help', 'booted', 'battlefield', 'game', 'unable', 'online', 'seeing', 'people', 'subreddit', 'say', 'issue', 'battlefield', 'serves']"
Positive,whoever created the undo button microsoft word genius,"['whoever', 'created', 'undo', 'button', 'microsoft', 'word', 'genius']"
Negative,warrant can you explain this bullshit thanks pick,"['warrant', 'explain', 'bullshit', 'thanks', 'pick']"
Neutral,could vaccine big shock corona vaccine johnson johnson stops all trials english,"['could', 'vaccine', 'big', 'shock', 'corona', 'vaccine', 'johnson', 'johnson', 'stops', 'trials', 'english']"
Positive,ugh remember staring line and drooping for days and even made her just her screensaver she looks breaking good,"['ugh', 'remember', 'staring', 'line', 'drooping', 'days', 'even', 'made', 'screensaver', 'looks', 'breaking', 'good']"
Neutral,hata bet you points digitalnutter ranged apexlegends xboxshare pick,"['hata', 'bet', 'points', 'digitalnutter', 'ranged', 'apexlegends', 'xboxshare', 'pick']"
Neutral,flank with kills battlefield share store plantation com did cuba,"['flank', 'kills', 'battlefield', 'share', 'store', 'plantation', 'com', 'cuba']"
Negative,chaplinez morning you might not agree with and mean disrespect anyone but feel having international break during this anaemic terrible idea don understand what the guns if are thinking but its just not right,"['chaplinez', 'morning', 'might', 'agree', 'mean', 'disrespect', 'anyone', 'feel', 'international', 'break', 'anaemic', 'terrible', 'idea', 'understand', 'guns', 'thinking', 'right']"
Positive,love ta san andrews and red death redemption also still have old slim would love get this please,"['love', 'ta', 'san', 'andrews', 'red', 'death', 'redemption', 'also', 'still', 'old', 'slim', 'would', 'love', 'get', 'please']"
Negative,dead game,"['dead', 'game']"
Positive,loving all the and animal crossing crossovers somehow more surprising than animal crossing and doom,"['loving', 'animal', 'crossing', 'crossovers', 'somehow', 'surprising', 'animal', 'crossing', 'doom']"
Negative,bit seriously threatening india super review,"['bit', 'seriously', 'threatening', 'india', 'super', 'review']"
Irrelevant,love starting day twitter getting blessed this demon,"['love', 'starting', 'day', 'twitter', 'getting', 'blessed', 'demon']"
Neutral,agree also tiresome play and boring look hope when polypus comes they either rotate out don see much,"['agree', 'also', 'tiresome', 'play', 'boring', 'look', 'hope', 'polypus', 'comes', 'either', 'rotate', 'see', 'much']"
Neutral,horizon tireless customers faced service issues georgia area company says,"['horizon', 'tireless', 'customers', 'faced', 'service', 'issues', 'georgia', 'area', 'company', 'says']"
Positive,ll was looking for something listen that was beat for and the first recommendation was heart will nice job goose,"['looking', 'something', 'listen', 'beat', 'first', 'recommendation', 'heart', 'nice', 'job', 'goose']"
Negative,delete echoes data,"['delete', 'echoes', 'data']"
Neutral,house democrats say facebook amazon alphabet apple enjoy monopoly power and recommend big changes,"['house', 'democrats', 'say', 'facebook', 'amazon', 'alphabet', 'apple', 'enjoy', 'monopoly', 'power', 'recommend', 'big', 'changes']"
Negative,na you guns gutta fix the shooting bags everytime green people are kicked out green animation flicked like crazy before also kicking out states park are garage,"['na', 'guns', 'gutta', 'fix', 'shooting', 'bags', 'everytime', 'green', 'people', 'kicked', 'green', 'animation', 'flicked', 'like', 'crazy', 'also', 'kicking', 'states', 'park', 'garage']"
Irrelevant,how impress indian girl first impressgirl mrfaisu fairness rapier chhattisgarh comic boy bridal false faisusquad tikhon tiktokmemes impressgirlfriend metes pub sincere urvashirautela lookout life fair fairskin love,"['impress', 'indian', 'girl', 'first', 'impressgirl', 'mrfaisu', 'fairness', 'rapier', 'chhattisgarh', 'comic', 'boy', 'bridal', 'false', 'faisusquad', 'tikhon', 'tiktokmemes', 'impressgirlfriend', 'metes', 'pub', 'sincere', 'urvashirautela', 'lookout', 'life', 'fair', 'fairskin', 'love']"
Positive,this was easily the best if first time with secondary divisions off the ball control free kick spin and placement and original soundtrack vice snatched if easportsfifa if pick,"['easily', 'best', 'first', 'time', 'secondary', 'divisions', 'ball', 'control', 'free', 'kick', 'spin', 'placement', 'original', 'soundtrack', 'vice', 'snatched', 'easportsfifa', 'pick']"
Negative,this cricket has been the worst hivemind random have done this more times than would love better the tartar level kingdom hearts bad borderlands,"['cricket', 'worst', 'hivemind', 'random', 'done', 'times', 'would', 'love', 'better', 'tartar', 'level', 'kingdom', 'hearts', 'bad', 'borderlands']"
Positive,was true epic of,"['true', 'epic']"
Irrelevant,congratulations borderlands research institute for their recent grant the amount from brim dedicated the study montezuma equal the trans paces region order better understand its population projection quailhunting quailconservation pick,"['congratulations', 'borderlands', 'research', 'institute', 'recent', 'grant', 'amount', 'brim', 'dedicated', 'study', 'montezuma', 'equal', 'trans', 'paces', 'region', 'order', 'better', 'understand', 'population', 'projection', 'quailhunting', 'quailconservation', 'pick']"
Positive,great starting price,"['great', 'starting', 'price']"
Positive,delayed game eventually good but rushed game forever bad shiver miyamoto video game design legend des cyberpunk please take care yourselves this game have waited years for few more weeks won hurt,"['delayed', 'game', 'eventually', 'good', 'rushed', 'game', 'forever', 'bad', 'shiver', 'miyamoto', 'video', 'game', 'design', 'legend', 'des', 'cyberpunk', 'please', 'take', 'care', 'game', 'waited', 'years', 'weeks', 'hurt']"
Positive,best luck,"['best', 'luck']"
Positive,very interested this,['interested']
Positive,red dead redemption got wanting move mother fucking ranch,"['red', 'dead', 'redemption', 'got', 'wanting', 'move', 'mother', 'fucking', 'ranch']"
Negative,goodness playoverwatch your matchmaking competitive thirty troops dick because fucking the us the ass,"['goodness', 'playoverwatch', 'matchmaking', 'competitive', 'thirty', 'troops', 'dick', 'fucking', 'us', 'ass']"
Negative,what does everyone think playoverwatch open que come been rolling sight but hell you don have sup players overwatch,"['everyone', 'think', 'playoverwatch', 'open', 'que', 'come', 'rolling', 'sight', 'hell', 'sup', 'players', 'overwatch']"
Positive,league legends taught come terms with own disappointing third novel,"['league', 'legends', 'taught', 'come', 'terms', 'disappointing', 'third', 'novel']"
Negative,hate that music,"['hate', 'music']"
Neutral,who ready for some combine royale warne stream tonight gamerretweets callofduty warne twitch streamed modernwarfare gulagking pure head over give follow and turn modifications not miss out the fun roadtoaffliate,"['ready', 'combine', 'royale', 'warne', 'stream', 'tonight', 'gamerretweets', 'callofduty', 'warne', 'twitch', 'streamed', 'modernwarfare', 'gulagking', 'pure', 'head', 'give', 'follow', 'turn', 'modifications', 'miss', 'fun', 'roadtoaffliate']"
Neutral,league legends pop group announces comeback single the saddest entertainment announces saddest comeback entertainment,"['league', 'legends', 'pop', 'group', 'announces', 'comeback', 'single', 'saddest', 'entertainment', 'announces', 'saddest', 'comeback', 'entertainment']"
Neutral,quick rainbowsixsiege rainbowsix ranged tomclancy streamed stream mixerfamily mixerlove mixed mixerstreamer mixerstreamersunite mixerstream xyqehnnba,"['quick', 'rainbowsixsiege', 'rainbowsix', 'ranged', 'tomclancy', 'streamed', 'stream', 'mixerfamily', 'mixerlove', 'mixed', 'mixerstreamer', 'mixerstreamersunite', 'mixerstream', 'xyqehnnba']"
Positive,black op cold war official reveal via couture can wait brow love the video getting hope realthunder,"['black', 'op', 'cold', 'war', 'official', 'reveal', 'via', 'couture', 'wait', 'brow', 'love', 'video', 'getting', 'hope', 'realthunder']"
Irrelevant,its normal people hate overwatch because the community toxic one have mid seconds later you are trash of bed install the game for that you want the people the voice chat,"['normal', 'people', 'hate', 'overwatch', 'community', 'toxic', 'one', 'mid', 'seconds', 'later', 'trash', 'bed', 'install', 'game', 'want', 'people', 'voice', 'chat']"
Neutral,bitch ass legend lip little brother our game win streak bonne na pick,"['bitch', 'ass', 'legend', 'lip', 'little', 'brother', 'game', 'win', 'streak', 'bonne', 'na', 'pick']"
Positive,worldcupathome five african matches you would love see from if,"['worldcupathome', 'five', 'african', 'matches', 'would', 'love', 'see']"
Irrelevant,haven watched the na quiet some time actually boycotted most the year because the long long frisco but dame millard may just bring back its like fortunate theater,"['watched', 'na', 'quiet', 'time', 'actually', 'boycotted', 'year', 'long', 'long', 'frisco', 'dame', 'millard', 'may', 'bring', 'back', 'like', 'fortunate', 'theater']"
Negative,help haven been able log battlefield box one and friend encountered the same issue just can and data won however and all other games have appear fine though that,"['help', 'able', 'log', 'battlefield', 'box', 'one', 'friend', 'encountered', 'issue', 'data', 'however', 'games', 'appear', 'fine', 'though']"
Neutral,will say that playing hearthstone last weekend made appreciate magic organized play from the level down even with its consistent disappointments above that,"['say', 'playing', 'hearthstone', 'last', 'weekend', 'made', 'appreciate', 'magic', 'organized', 'play', 'level', 'even', 'consistent', 'disappointments']"
Neutral,great storytelling peppered with detail that brought the world life make this easy recommend amazon reviewed mystery cosycrime readindie,"['great', 'storytelling', 'peppered', 'detail', 'brought', 'world', 'life', 'make', 'easy', 'recommend', 'amazon', 'reviewed', 'mystery', 'cosycrime', 'readindie']"
Irrelevant,year old trading the stock market scar news can install good financial habits curiosity but equally high chances going the opposite way seeing gambling tendencies heavy losses from trading worse this becoming the next blue whale not worth,"['year', 'old', 'trading', 'stock', 'market', 'scar', 'news', 'install', 'good', 'financial', 'habits', 'curiosity', 'equally', 'high', 'chances', 'going', 'opposite', 'way', 'seeing', 'gambling', 'tendencies', 'heavy', 'losses', 'trading', 'worse', 'becoming', 'next', 'blue', 'whale', 'worth']"
Neutral,may not the first observe this but faces has had all the developer who make the internet for decade and half and the entire time they have been like ll fuck off microsoft buying open source these days perhaps developer central lawton next,"['may', 'first', 'observe', 'faces', 'developer', 'make', 'internet', 'decade', 'half', 'entire', 'time', 'like', 'fuck', 'microsoft', 'buying', 'open', 'source', 'days', 'perhaps', 'developer', 'central', 'lawton', 'next']"
Neutral,say hello sasha boston ak scarlet the current highest earning female exports player the world she nails from canada and built her amazing career playing statecraft and data much respect this amazing woman and role model onfirescarlett pick,"['say', 'hello', 'sasha', 'boston', 'ak', 'scarlet', 'current', 'highest', 'earning', 'female', 'exports', 'player', 'world', 'nails', 'canada', 'built', 'amazing', 'career', 'playing', 'statecraft', 'data', 'much', 'respect', 'amazing', 'woman', 'role', 'model', 'onfirescarlett', 'pick']"
Irrelevant,are going miss you league legends but happy for you wish best things for you,"['going', 'miss', 'league', 'legends', 'happy', 'wish', 'best', 'things']"
Negative,ghostrecon ghostreconbreakpoint just took down termination pick,"['ghostrecon', 'ghostreconbreakpoint', 'took', 'termination', 'pick']"
Positive,love data putting in,"['love', 'data', 'putting']"
Negative,damn just want back can have shit league legends,"['damn', 'want', 'back', 'shit', 'league', 'legends']"
Negative,not this again,[]
Irrelevant,admiration for this artist grows every year just beautiful malukah daughter the sea world warrant caustic cover malukah via couture,"['admiration', 'artist', 'grows', 'every', 'year', 'beautiful', 'malukah', 'daughter', 'sea', 'world', 'warrant', 'caustic', 'cover', 'malukah', 'via', 'couture']"
Irrelevant,ton mimi have one else but have brother who would very happy about again ton said,"['ton', 'mimi', 'one', 'else', 'brother', 'would', 'happy', 'ton', 'said']"
Positive,very interesting get something for smartphones india,"['interesting', 'get', 'something', 'smartphones', 'india']"
Irrelevant,whoisaddison made fortunate montague for you,"['whoisaddison', 'made', 'fortunate', 'montague']"
Positive,ogg baron puzzle box quite possibly favorite card the game secrets and puzzle box make for truly crazy insane moments fun even when shitshow hearthstone,"['ogg', 'baron', 'puzzle', 'box', 'quite', 'possibly', 'favorite', 'card', 'game', 'secrets', 'puzzle', 'box', 'make', 'truly', 'crazy', 'insane', 'moments', 'fun', 'even', 'shitshow', 'hearthstone']"
Neutral,exports curiosities you probably didn know about red dead redemption escort,"['exports', 'curiosities', 'probably', 'know', 'red', 'dead', 'redemption', 'escort']"
Neutral,india before now goose stain rival suffers another blow before,"['india', 'goose', 'stain', 'rival', 'suffers', 'another', 'blow']"
Irrelevant,saw sweet about how story told over and over cut they mad men died the war and didn have battlefield treatment can even think another movie would even know,"['saw', 'sweet', 'story', 'told', 'cut', 'mad', 'men', 'died', 'war', 'battlefield', 'treatment', 'even', 'think', 'another', 'movie', 'would', 'even', 'know']"
Irrelevant,brow had abusive internet boyfriend that used call stupid bitch whenever nights used like pick facebook and used beg him not mad was such stupid bitch for real,"['brow', 'abusive', 'internet', 'boyfriend', 'used', 'call', 'stupid', 'bitch', 'whenever', 'nights', 'used', 'like', 'pick', 'facebook', 'used', 'beg', 'mad', 'stupid', 'bitch', 'real']"
Negative,games never the same again,"['games', 'never']"
Negative,verizonfios frustration hold for min finally talk rep says she has call back due static been hours and still haven heard from her terrible customer service experience horizon,"['verizonfios', 'frustration', 'hold', 'min', 'finally', 'talk', 'rep', 'says', 'call', 'back', 'due', 'static', 'hours', 'still', 'heard', 'terrible', 'customer', 'service', 'experience', 'horizon']"
Negative,experience with assassin creed odyssey are those the opening credits been playing this for days where the spider man disc,"['experience', 'assassin', 'creed', 'odyssey', 'opening', 'credits', 'playing', 'days', 'spider', 'man', 'disc']"
Neutral,time show love good streamed head over knockout channel he doing some rainbowsixsiege right now show him some love,"['time', 'show', 'love', 'good', 'streamed', 'head', 'knockout', 'channel', 'rainbowsixsiege', 'right', 'show', 'love']"
Positive,been crushing over windailysports congress jack,"['crushing', 'windailysports', 'congress', 'jack']"
Irrelevant,red dead redemption load times box series seconds seconds xboxseriesx yet again sonya still have the better machine,"['red', 'dead', 'redemption', 'load', 'times', 'box', 'series', 'seconds', 'seconds', 'xboxseriesx', 'yet', 'sonya', 'still', 'better', 'machine']"
Neutral,bout fuck around and stream playapex grind and brawlhalla afterwards biting,"['bout', 'fuck', 'around', 'stream', 'playapex', 'grind', 'brawlhalla', 'afterwards', 'biting']"
Negative,dont forget foci bartering with cent for mobile poleon league legends and league being league aside cent really shady thirty company and will likely features,"['dont', 'forget', 'foci', 'bartering', 'cent', 'mobile', 'poleon', 'league', 'legends', 'league', 'league', 'aside', 'cent', 'really', 'shady', 'thirty', 'company', 'likely', 'features']"
Positive,hell good option and loved all these games but gutta with ta pick,"['hell', 'good', 'option', 'loved', 'games', 'gutta', 'ta', 'pick']"
Irrelevant,pinkwardlol mad you lost that game so you banner from your twitch weak,"['pinkwardlol', 'mad', 'lost', 'game', 'banner', 'twitch', 'weak']"
Neutral,microsoft owned minecraft will stop using amazon cloud mid,"['microsoft', 'owned', 'minecraft', 'stop', 'using', 'amazon', 'cloud', 'mid']"
Negative,na anything like again never buying game from all again make the game like,"['na', 'anything', 'like', 'never', 'buying', 'game', 'make', 'game', 'like']"
Negative,all success the past came from people that don know single thing about time back that audience done with facebook not watering that crowd anymore,"['success', 'past', 'came', 'people', 'know', 'single', 'thing', 'time', 'back', 'audience', 'done', 'facebook', 'watering', 'crowd', 'anymore']"
Negative,horizon done with all all charge too damn much for telephone plus your service sucks,"['horizon', 'done', 'charge', 'damn', 'much', 'telephone', 'plus', 'service', 'sucks']"
Positive,thank you war that finally pub unburned waqarzaka pick,"['thank', 'war', 'finally', 'pub', 'unburned', 'waqarzaka', 'pick']"
Neutral,kings,['kings']
Neutral,get ready for the weekend with our special offers with marvel spider man assassins creed black flag call duty infinite warfare and many others this week visit offers get great deal,"['get', 'ready', 'weekend', 'special', 'offers', 'marvel', 'spider', 'man', 'assassins', 'creed', 'black', 'flag', 'call', 'duty', 'infinite', 'warfare', 'many', 'others', 'week', 'visit', 'offers', 'get', 'great', 'deal']"
Irrelevant,friendship ended with mr now bursa best friend,"['friendship', 'ended', 'mr', 'bursa', 'best', 'friend']"
Negative,league legends started having spikes two days ago this sign should stop playing,"['league', 'legends', 'started', 'spikes', 'two', 'days', 'ago', 'sign', 'stop', 'playing']"
Positive,hey guns just hit legend with incredible nitrate which seems strange but take got lot rewards and the new ranks look kind cool overall pretty happy with the changes till now hearthstone pick,"['hey', 'guns', 'hit', 'legend', 'incredible', 'nitrate', 'seems', 'strange', 'take', 'got', 'lot', 'rewards', 'new', 'ranks', 'look', 'kind', 'cool', 'overall', 'pretty', 'happy', 'changes', 'till', 'hearthstone', 'pick']"
Positive,great that big companies can everything otherwise today would have had yellow pages yakov goose wouldn have been able give all the cool product thinking the optimism says room disrupted and there are many more googlemeet armee com,"['great', 'big', 'companies', 'everything', 'otherwise', 'today', 'would', 'yellow', 'pages', 'yakov', 'goose', 'able', 'give', 'cool', 'product', 'thinking', 'optimism', 'says', 'room', 'disrupted', 'many', 'googlemeet', 'armee', 'com']"
Irrelevant,parents freak out much when someone they don know adds them facebook,"['parents', 'freak', 'much', 'someone', 'know', 'adds', 'facebook']"
Neutral,shipped first you enabled production code through bravetools makes easy passthrough host hardware and india drivers while bravetools abstract configuration and makes easy automatic for all future release drops opensource bar,"['shipped', 'first', 'enabled', 'production', 'code', 'bravetools', 'makes', 'easy', 'passthrough', 'host', 'hardware', 'india', 'drivers', 'bravetools', 'abstract', 'configuration', 'makes', 'easy', 'automatic', 'future', 'release', 'drops', 'opensource', 'bar']"
Irrelevant,come vice with missing around ta twitter,"['come', 'vice', 'missing', 'around', 'ta', 'twitter']"
Positive,looks nice love white,"['looks', 'nice', 'love', 'white']"
Neutral,until july red dead redemption amazon,"['july', 'red', 'dead', 'redemption', 'amazon']"
Neutral,news from gamesradar retainers are smiling customers advise them that not all box series pre orders can honor download the pp applaygames for more news video and games information play apes met are,"['news', 'gamesradar', 'retainers', 'smiling', 'customers', 'advise', 'box', 'series', 'pre', 'orders', 'honor', 'download', 'pp', 'applaygames', 'news', 'video', 'games', 'information', 'play', 'apes', 'met']"
Positive,thanks rockstargames you rock stars reddeadredemption pick,"['thanks', 'rockstargames', 'rock', 'stars', 'reddeadredemption', 'pick']"
Positive,delivered our own house team microsoft dynamic enhanced productivity and increases agility your organisation can adapt quickly change get touch today find out more,"['delivered', 'house', 'team', 'microsoft', 'dynamic', 'enhanced', 'productivity', 'increases', 'agility', 'organisation', 'adapt', 'quickly', 'change', 'get', 'touch', 'today', 'find']"
Negative,switzerland opens criminal case against if boss infantile,"['switzerland', 'opens', 'criminal', 'case', 'boss', 'infantile']"
Neutral,borderlands two there fucking dragon someone help,"['borderlands', 'two', 'fucking', 'dragon', 'someone', 'help']"
Positive,fuck buying one for man donna buy one for myself,"['fuck', 'buying', 'one', 'man', 'donna', 'buy', 'one']"
Negative,glad never joined facebook,"['glad', 'never', 'joined', 'facebook']"
Neutral,africa exports championship back with exciting season fearing league legends taken if pub mobile calling all zambian players sign now register visit aet africa esportsafreeca matrix aet labia,"['africa', 'exports', 'championship', 'back', 'exciting', 'season', 'fearing', 'league', 'legends', 'taken', 'pub', 'mobile', 'calling', 'zambian', 'players', 'sign', 'register', 'visit', 'aet', 'africa', 'esportsafreeca', 'matrix', 'aet', 'labia']"
Negative,was all these games are retracting their announcements for ports surely these are all just incidental mistakes,"['games', 'retracting', 'announcements', 'ports', 'surely', 'incidental', 'mistakes']"
Irrelevant,happy birthday guam,"['happy', 'birthday', 'guam']"
